FIPS5,yr,population
05141,2016,16629
05141,2017,16533
05141,2018,16603
05143,2014,219976
05143,2015,224491
05143,2016,228438
05143,2017,232780
05143,2018,236961
05145,2014,78459
05145,2015,78925
05145,2016,78967
05145,2017,78941
05145,2018,78727
05147,2014,6874
05147,2015,6721
05147,2016,6616
05147,2017,6600
05147,2018,6490
05149,2014,21774
05149,2015,21513
05149,2016,21501
05149,2017,21544
05149,2018,21535
06001,2014,1608674
06001,2015,1634634
06001,2016,1650306
06001,2017,1658131
06001,2018,1666753
06003,2014,1082
06003,2015,1087
06003,2016,1057
06003,2017,1121
06003,2018,1101
06005,2014,36738
06005,2015,37037
06005,2016,37438
06005,2017,38551
06005,2018,39383
06007,2014,223570
06007,2015,224812
06007,2016,226529
06007,2017,229207
06007,2018,231256
06009,2014,44673
06009,2015,44957
06009,2016,45303
06009,2017,45642
06009,2018,45602
06011,2014,21198
06011,2015,21269
06011,2016,21553
06011,2017,21675
06011,2018,21627
06013,2014,1109358
06013,2015,1124606
06013,2016,1137194
06013,2017,1144863
06013,2018,1150215
06015,2014,27198
06015,2015,27246
06015,2016,27422
06015,2017,27428
06015,2018,27828
06017,2014,183161
06017,2015,184660
06017,2016,186082
06017,2017,188722
06017,2018,190678
06019,2014,961311
06019,2015,970442
06019,2016,977956
06019,2017,986542
06019,2018,994400
06021,2014,27857
06021,2015,27776
06021,2016,27851
06021,2017,27956
06021,2018,28047
06023,2014,134514
06023,2015,135114
06023,2016,136314
06023,2017,136527
06023,2018,136373
06025,2014,178233
06025,2015,179179
06025,2016,180268
06025,2017,181574
06025,2018,181827
06027,2014,18320
06027,2015,18174
06027,2016,17996
06027,2017,17948
06027,2018,17987
06029,2014,869957
06029,2015,877197
06029,2016,882361
06029,2017,888988
06029,2018,896764
06031,2014,149603
06031,2015,150199
06031,2016,149509
06031,2017,149696
06031,2018,151366
06033,2014,64058
06033,2015,64254
06033,2016,63884
06033,2017,64162
06033,2018,64382
06035,2014,31710
06035,2015,31383
06035,2016,30906
06035,2017,31123
06035,2018,30802
06037,2014,10048408
06037,2015,10097037
06037,2016,10120540
06037,2017,10118759
06037,2018,10105518
06039,2014,153590
06039,2015,153739
06039,2016,154160
06039,2017,155904
06039,2018,157672
06041,2014,260435
06041,2015,261016
06041,2016,260633
06041,2017,259725
06041,2018,259666
06043,2014,17713
06043,2015,17622
06043,2016,17455
06043,2017,17437
06043,2018,17471
06045,2014,87257
06045,2015,87168
06045,2016,87382
06045,2017,87697
06045,2018,87606
06047,2014,264649
06047,2015,266651
06047,2016,267971
06047,2017,271340
06047,2018,274765
06049,2014,9080
06049,2015,9048
06049,2016,8935
06049,2017,8848
06049,2018,8777
06051,2014,14142
06051,2015,14043
06051,2016,14202
06051,2017,14235
06051,2018,14250
06053,2014,428980
06053,2015,431241
06053,2016,434767
06053,2017,435477
06053,2018,435594
06055,2014,140567
06055,2015,141096
06055,2016,141185
06055,2017,140386
06055,2018,139417
06057,2014,98589
06057,2015,98709
06057,2016,98964
06057,2017,99503
06057,2018,99696
06059,2014,3130322
06059,2015,3153962
06059,2016,3170707
06059,2017,3179950
06059,2018,3185968
06061,2014,369326
06061,2015,373058
06061,2016,379288
06061,2017,385565
06061,2018,393149
06063,2014,18662
06063,2015,18516
06063,2016,18772
06063,2017,18740
06063,2018,18804
06065,2014,2317955
06065,2015,2347921
06065,2016,2382570
06065,2017,2417224
06065,2018,2450758
06067,2014,1475618
06067,2015,1494294
06067,2016,1511510
06067,2017,1527718
06067,2018,1540975
06069,2014,57867
06069,2015,58243
06069,2016,59235
06069,2017,60199
06069,2018,61537
06071,2014,2100776
06071,2015,2117311
06071,2016,2134174
06071,2017,2153203
06071,2018,2171603
06073,2014,3250993
06073,2015,3284061
06073,2016,3310280
06073,2017,3325468
06073,2018,3343364
06075,2014,851116
06075,2015,863836
06075,2016,872795
06075,2017,879166
06075,2018,883305
06077,2014,711771
06077,2015,721929
06077,2016,732185
06077,2017,742516
06077,2018,752660
06079,2014,278296
06079,2015,280171
06079,2016,281958
06079,2017,282838
06079,2018,284010
06081,2014,757670
06081,2015,765447
06081,2016,768204
06081,2017,768808
06081,2018,769545
06083,2014,439358
06083,2015,442522
06083,2016,444675
06083,2017,445606
06083,2018,446527
06085,2014,1892984
06085,2015,1917481
06085,2016,1929581
06085,2017,1933383
06085,2018,1937570
06087,2014,271035
06087,2015,273730
06087,2016,274702
06087,2017,275105
06087,2018,274255
06089,2014,178905
06089,2015,178361
06089,2016,178581
06089,2017,179539
06089,2018,180040
06091,2014,2980
06091,2015,2996
06091,2016,2957
06091,2017,3009
06091,2018,2987
06093,2014,43379
06093,2015,43336
06093,2016,43479
06093,2017,43784
06093,2018,43724
06095,2014,429155
06095,2015,433708
06095,2016,439300
06095,2017,443877
06095,2018,446610
06097,2014,498803
06097,2015,501346
06097,2016,503249
06097,2017,503246
06097,2018,499942
06099,2014,528346
06099,2015,533534
06099,2016,539542
06099,2017,545267
06099,2018,549815
06101,2014,94830
06101,2015,95388
06101,2016,95898
06101,2017,96438
06101,2018,96807
06103,2014,62788
06103,2015,63090
06103,2016,63352
06103,2017,63718
06103,2018,63916
06105,2014,13123
06105,2015,13094
06105,2016,12830
06105,2017,12726
06105,2018,12535
06107,2014,455602
06107,2015,457803
06107,2016,460023
06107,2017,463097
06107,2018,465861
06109,2014,53828
06109,2015,53550
06109,2016,53704
06109,2017,54039
06109,2018,54539
06111,2014,842946
06111,2015,846922
06111,2016,848921
06111,2017,850802
06111,2018,850967
06113,2014,208518
06113,2015,212053
06113,2016,215530
06113,2017,218376
06113,2018,220408
06115,2014,73562
06115,2015,74083
06115,2016,75002
06115,2017,76775
06115,2018,78041
08001,2014,480263
08001,2015,490768
08001,2016,498249
08001,2017,504428
08001,2018,511868
08003,2014,16220
08003,2015,16314
08003,2016,16461
08003,2017,16543
08003,2018,16683
08005,2014,618798
08005,2015,630637
08005,2016,638571
08005,2017,644132
08005,2018,651215
08007,2014,12233
08007,2015,12393
08007,2016,12832
08007,2017,13317
08007,2018,13765
08009,2014,3587
08009,2015,3553
08009,2016,3528
08009,2017,3563
08009,2018,3585
08011,2014,5784
08011,2015,5879
08011,2016,5645
08011,2017,5857
08011,2018,5882
08013,2014,313298
08013,2015,319175
08013,2016,322527
08013,2017,324073
08013,2018,326078
08014,2014,61769
08014,2015,64856
08014,2016,66474
08014,2017,68232
08014,2018,69267
08015,2014,18453
08015,2015,18600
08015,2016,19089
08015,2017,19651
08015,2018,20027
08017,2014,1846
08017,2015,1827
08017,2016,1849
08017,2017,1860
08017,2018,1876
08019,2014,9114
08019,2015,9237
08019,2016,9356
08019,2017,9582
08019,2018,9605
08021,2014,8233
08021,2015,8069
08021,2016,8057
08021,2017,8153
08021,2018,8200
08023,2014,3564
08023,2015,3577
08023,2016,3696
08023,2017,3772
08023,2018,3828
08025,2014,5609
08025,2015,5622
08025,2016,5261
08025,2017,5798
08025,2018,5858
08027,2014,4344
08027,2015,4438
08027,2016,4593
08027,2017,4873
08027,2018,4954
08029,2014,29965
08029,2015,29919
08029,2016,30356
08029,2017,30537
08029,2018,30953
08031,2014,664870
08031,2015,683665
08031,2016,696618
08031,2017,705439
08031,2018,716492
08033,2014,1977
08033,2015,1981
08033,2016,2056
08033,2017,2053
08033,2018,2074
08035,2014,314574
08035,2015,321964
08035,2016,328088
08035,2017,335668
08035,2018,342776
08037,2014,53323
08037,2015,53896
08037,2016,54579
08037,2017,54992
08037,2018,54993
08039,2014,24033
08039,2015,24621
08039,2016,25138
08039,2017,25735
08039,2018,26282
08041,2014,663266
08041,2015,674156
08041,2016,688687
08041,2017,700800
08041,2018,713856
08043,2014,46133
08043,2015,46267
08043,2016,46982
08043,2017,47607
08043,2018,48021
08045,2014,57201
08045,2015,57760
08045,2016,58847
08045,2017,59113
08045,2018,59770
08047,2014,5751
08047,2015,5807
08047,2016,5914
08047,2017,6026
08047,2018,6121
08049,2014,14559
08049,2015,14721
08049,2016,15170
08049,2017,15356
08049,2018,15525
08051,2014,15842
08051,2015,16178
08051,2016,16489
08051,2017,16931
08051,2018,17246
08053,2014,773
08053,2015,764
08053,2016,788
08053,2017,791
08053,2018,811
08055,2014,6396
08055,2015,6407
08055,2016,6579
08055,2017,6645
08055,2018,6889
08057,2014,1385
08057,2015,1352
08057,2016,1357
08057,2017,1379
08057,2018,1399
08059,2014,559085
08059,2015,565223
08059,2016,571779
08059,2017,575817
08059,2018,580233
08061,2014,1380
08061,2015,1384
08061,2016,1342
08061,2017,1367
08061,2018,1383
08063,2014,8020
08063,2015,8215
08063,2016,7625
08063,2017,7152
08063,2018,7163
08065,2014,7320
08065,2015,7442
08065,2016,7584
08065,2017,7753
08065,2018,7824
08067,2014,53788
08067,2015,54609
08067,2016,55258
08067,2017,55541
08067,2018,56310
08069,2014,324061
08069,2015,333309
08069,2016,338926
08069,2017,343993
08069,2018,350518
08071,2014,14044
08071,2015,14043
08071,2016,14076
08071,2017,14231
08071,2018,14503
